[ADR-0002] trackedCard: "HJ"
Elm.js:509 [ADR-0002] errorCandidates: ["H7","D3","DQ","D9","DK","C3"]
Elm.js:509 [ADR-0002] suitMatchRatio: [("Spades",0),("Hearts",0.16666666666666666),("Diamonds",0.6666666666666666),("Clubs",0.16666666666666666)]
Elm.js:509 [ADR-0002] trackedCard: "D5"
Elm.js:509 [ADR-0002] userSelections: ["Center","Right","Left"]
Elm.js:509 [ADR-0002] initialDeck: ["S2","SA","HK","H7","C8","C7","H6","C5","C4","DK","SJ","D10","S7","D7","D6","DQ","S6","S9","H9","D5","D4"]
Elm.js:509 [ADR-0002] errorCandidates: ["H7","C7","H9","SA","D7","HK"]
Elm.js:509 [ADR-0002] suitMatchRatio: [("Spades",0.16666666666666666),("Hearts",0.5),("Diamonds",0.16666666666666666),("Clubs",0.16666666666666666)]
Elm.js:509 [ADR-0002] trackedCard: "DQ"
Elm.js:509 [ADR-0002] userSelections: ["Left","Right","Center"]
Elm.js:509 [ADR-0002] initialDeck: ["H8","H7","H6","C10","C5","C7","C2","H5","CA","C9","C3","H4","DK","CJ","H2","DQ","D7","HA","DJ","C6","C8"]
Elm.js:509 [ADR-0002] errorCandidates: ["CJ","H2","C2","C9","C10","H6"]
Elm.js:509 [ADR-0002] suitMatchRatio: [("Spades",0),("Hearts",0.3333333333333333),("Diamonds",0),("Clubs",0.6666666666666666)]
Elm.js:509 [ADR-0002] trackedCard: "HJ"
Elm.js:509 [ADR-0002] userSelections: ["Right","Left","Center"]
Elm.js:509 [ADR-0002] initialDeck: ["D6","S7","S6","S4","S10","HJ","H8","H4","D5","C9","C8","H3","H10","D9","S2","S5","C10","D7","C2","H9","DK"]
Elm.js:509 [ADR-0002] errorCandidates: ["H8","H4","H3","S2","C2","D7"]
Elm.js:509 [ADR-0002] suitMatchRatio: [("Spades",0.16666666666666666),("Hearts",0.5),("Diamonds",0.16666666666666666),("Clubs",0.16666666666666666)]
Elm.js:509 [ADR-0002] trackedCard: "KH"
Elm.js:509 [ADR-0002] userSelections: ["Right","Right","Right"]
Elm.js:509 [ADR-0002] initialDeck: ["D7","D8","D5","DK","SA","HK","D2","DA","D10","HJ","H9","SK","H3","H8","D4","H10","HA","CJ","D9","H4","S10"]
Elm.js:509 [ADR-0002] errorCandidates: ["D5","CJ","S10","HK","D4"]
Elm.js:509 [ADR-0002] suitMatchRatio: [("Spades",0.2),("Hearts",0.2),("Diamonds",0.4),("Clubs",0.2)]
Elm.js:509 [ADR-0002] trackedCard: "CQ"
Elm.js:509 [ADR-0002] userSelections: ["Center","Center","Right"]
Elm.js:509 [ADR-0002] initialDeck: ["C2","CQ","C10","DJ","C4","S3","D3","D2","DA","D9","D7","C9","S2","SA","HQ","SK","D8","C5","H10","D6","C7"]
Elm.js:509 [ADR-0002] errorCandidates: ["H10","C7","D8","C10","CQ","D7"]
Elm.js:509 [ADR-0002] suitMatchRatio: [("Spades",0),("Hearts",0.16666666666666666),("Diamonds",0.3333333333333333),("Clubs",0.5)]
Elm.js:509 [ADR-0002] trackedCard: "S10"
Elm.js:509 [ADR-0002] userSelections: ["Right","Center","Left"]
Elm.js:509 [ADR-0002] initialDeck: ["D7","DA","SK","SQ","S9","S2","S6","SA","S8","H5","D5","S3","S4","HK","H3","CQ","C9","D6","CK","C8","S10"]
Elm.js:509 [ADR-0002] errorCandidates: ["D7","DA","CK","S2","S3","S10"]
Elm.js:509 [ADR-0002] suitMatchRatio: [("Spades",0.5),("Hearts",0),("Diamonds",0.3333333333333333),("Clubs",0.16666666666666666)]
